applicant_id,gender,caste,religion,state,monthly_income,credit_score,loan_amount_requested,employment_type,education,existing_loans,loan_approved
IND1291,Male,General,Hindu,Gujarat,69012,736,500000,Salaried,Post-Graduate,1,1
IND1292,Female,SC,Christian,Tamil Nadu,24456,580,100000,Daily Wage,10th Pass,3,0
IND1293,Male,OBC,Hindu,Rajasthan,42345,656,200000,Salaried,Graduate,1,1
IND1294,Female,SC,Muslim,Bihar,20345,557,100000,Gig Worker,12th Pass,2,0
IND1295,Male,General,Hindu,Maharashtra,89012,781,1000000,Salaried,Post-Graduate,0,1
IND1296,Female,OBC,Muslim,Uttar Pradesh,32901,617,200000,Self-Employed,Graduate,2,1
IND1297,Male,General,Hindu,Gujarat,70456,748,750000,Salaried,Post-Graduate,1,1
IND1298,Female,SC,Christian,Tamil Nadu,27234,596,200000,Daily Wage,12th Pass,3,0
IND1299,Male,OBC,Hindu,Rajasthan,41234,649,200000,Salaried,Graduate,1,1
IND1300,Female,SC,Muslim,Bihar,19456,542,100000,Gig Worker,12th Pass,2,0
IND1301,Male,General,Hindu,Maharashtra,86789,759,750000,Salaried,Post-Graduate,0,1
IND1302,Female,OBC,Muslim,Uttar Pradesh,33678,622,200000,Self-Employed,Graduate,2,1
IND1303,Male,General,Hindu,Gujarat,67890,729,500000,Salaried,Post-Graduate,1,1
IND1304,Female,SC,Christian,Tamil Nadu,25901,591,100000,Daily Wage,10th Pass,3,0
IND1305,Male,OBC,Hindu,Rajasthan,44567,668,200000,Salaried,Graduate,1,1
IND1306,Female,SC,Muslim,Bihar,21678,573,100000,Gig Worker,12th Pass,2,0
IND1307,Male,General,Hindu,Maharashtra,91234,779,1000000,Salaried,Post-Graduate,0,1
IND1308,Female,OBC,Muslim,Uttar Pradesh,35123,631,200000,Self-Employed,Graduate,2,1
IND1309,Male,General,Hindu,Gujarat,65678,711,500000,Salaried,Post-Graduate,1,1
IND1310,Female,SC,Christian,Tamil Nadu,26567,594,200000,Daily Wage,12th Pass,3,0
IND1311,Male,OBC,Hindu,Rajasthan,42345,656,200000,Salaried,Graduate,1,1
IND1312,Female,SC,Muslim,Bihar,20123,554,100000,Gig Worker,12th Pass,2,0
IND1313,Male,General,Hindu,Maharashtra,84567,757,750000,Salaried,Post-Graduate,0,1
IND1314,Female,OBC,Muslim,Uttar Pradesh,36456,644,200000,Self-Employed,Graduate,2,1
IND1315,Male,General,Hindu,Gujarat,68901,734,500000,Salaried,Post-Graduate,1,1
IND1316,Female,SC,Christian,Tamil Nadu,24890,586,100000,Daily Wage,10th Pass,3,0
IND1317,Male,OBC,Hindu,Rajasthan,46789,672,200000,Salaried,Graduate,1,1
IND1318,Female,SC,Muslim,Bihar,21234,556,100000,Gig Worker,12th Pass,2,0
IND1319,Male,General,Hindu,Maharashtra,87890,773,1000000,Salaried,Post-Graduate,0,1
IND1320,Female,OBC,Muslim,Uttar Pradesh,33123,615,200000,Self-Employed,Graduate,2,1
IND1321,Male,General,Hindu,Gujarat,71234,756,750000,Salaried,Post-Graduate,1,1
IND1322,Female,SC,Christian,Tamil Nadu,26789,595,200000,Daily Wage,12th Pass,3,0
IND1323,Male,OBC,Hindu,Rajasthan,44567,668,200000,Salaried,Graduate,1,1
IND1324,Female,SC,Muslim,Bihar,19789,547,100000,Gig Worker,12th Pass,2,0
IND1325,Male,General,Hindu,Maharashtra,92345,789,1000000,Salaried,Post-Graduate,0,1
IND1326,Female,OBC,Muslim,Uttar Pradesh,34456,625,200000,Self-Employed,Graduate,2,1
IND1327,Male,General,Hindu,Gujarat,66789,719,500000,Salaried,Post-Graduate,1,1
IND1328,Female,SC,Christian,Tamil Nadu,25123,585,100000,Daily Wage,10th Pass,3,0
IND1329,Male,OBC,Hindu,Rajasthan,45678,667,200000,Salaried,Graduate,1,1
IND1330,Female,SC,Muslim,Bihar,20890,560,100000,Gig Worker,12th Pass,2,0
IND1331,Male,General,Hindu,Maharashtra,85678,767,750000,Salaried,Post-Graduate,0,1
IND1332,Female,OBC,Muslim,Uttar Pradesh,35789,639,200000,Self-Employed,Graduate,2,1
IND1333,Male,General,Hindu,Gujarat,69012,736,500000,Salaried,Post-Graduate,1,1
IND1334,Female,SC,Christian,Tamil Nadu,24456,580,100000,Daily Wage,10th Pass,3,0
IND1335,Male,OBC,Hindu,Rajasthan,42345,656,200000,Salaried,Graduate,1,1
IND1336,Female,SC,Muslim,Bihar,20345,557,100000,Gig Worker,12th Pass,2,0
IND1337,Male,General,Hindu,Maharashtra,89012,781,1000000,Salaried,Post-Graduate,0,1
IND1338,Female,OBC,Muslim,Uttar Pradesh,32901,617,200000,Self-Employed,Graduate,2,1
IND1339,Male,General,Hindu,Gujarat,70456,748,750000,Salaried,Post-Graduate,1,1
IND1340,Female,SC,Christian,Tamil Nadu,27234,596,200000,Daily Wage,12th Pass,3,0
IND1341,Male,OBC,Hindu,Rajasthan,41234,649,200000,Salaried,Graduate,1,1
IND1342,Female,SC,Muslim,Bihar,19456,542,100000,Gig Worker,12th Pass,2,0
IND1343,Male,General,Hindu,Maharashtra,86789,759,750000,Salaried,Post-Graduate,0,1
IND1344,Female,OBC,Muslim,Uttar Pradesh,33678,622,200000,Self-Employed,Graduate,2,1
IND1345,Male,General,Hindu,Gujarat,67890,729,500000,Salaried,Post-Graduate,1,1
IND1346,Female,SC,Christian,Tamil Nadu,25901,591,100000,Daily Wage,10th Pass,3,0
IND1347,Male,OBC,Hindu,Rajasthan,44567,668,200000,Salaried,Graduate,1,1
IND1348,Female,SC,Muslim,Bihar,21678,573,100000,Gig Worker,12th Pass,2,0
IND1349,Male,General,Hindu,Maharashtra,91234,779,1000000,Salaried,Post-Graduate,0,1
IND1350,Female,OBC,Muslim,Uttar Pradesh,35123,631,200000,Self-Employed,Graduate,2,1
IND1351,Male,General,Hindu,Gujarat,65678,711,500000,Salaried,Post-Graduate,1,1
IND1352,Female,SC,Christian,Tamil Nadu,26567,594,200000,Daily Wage,12th Pass,3,0
IND1353,Male,OBC,Hindu,Rajasthan,42345,656,200000,Salaried,Graduate,1,1
IND1354,Female,SC,Muslim,Bihar,20123,554,100000,Gig Worker,12th Pass,2,0
IND1355,Male,General,Hindu,Maharashtra,84567,757,750000,Salaried,Post-Graduate,0,1
IND1356,Female,OBC,Muslim,Uttar Pradesh,36456,644,200000,Self-Employed,Graduate,2,1
IND1357,Male,General,Hindu,Gujarat,68901,734,500000,Salaried,Post-Graduate,1,1
IND1358,Female,SC,Christian,Tamil Nadu,24890,586,100000,Daily Wage,10th Pass,3,0
IND1359,Male,OBC,Hindu,Rajasthan,46789,672,200000,Salaried,Graduate,1,1
IND1360,Female,SC,Muslim,Bihar,21234,556,100000,Gig Worker,12th Pass,2,0
IND1361,Male,General,Hindu,Maharashtra,87890,773,1000000,Salaried,Post-Graduate,0,1
IND1362,Female,OBC,Muslim,Uttar Pradesh,33123,615,200000,Self-Employed,Graduate,2,1
IND1363,Male,General,Hindu,Gujarat,71234,756,750000,Salaried,Post-Graduate,1,1
IND1364,Female,SC,Christian,Tamil Nadu,26789,595,200000,Daily Wage,12th Pass,3,0
IND1365,Male,OBC,Hindu,Rajasthan,44567,668,200000,Salaried,Graduate,1,1
IND1366,Female,SC,Muslim,Bihar,19789,547,100000,Gig Worker,12th Pass,2,0
IND1367,Male,General,Hindu,Maharashtra,92345,789,1000000,Salaried,Post-Graduate,0,1
IND1368,Female,OBC,Muslim,Uttar Pradesh,34456,625,200000,Self-Employed,Graduate,2,1
IND1369,Male,General,Hindu,Gujarat,66789,719,500000,Salaried,Post-Graduate,1,1
IND1370,Female,SC,Christian,Tamil Nadu,25123,585,100000,Daily Wage,10th Pass,3,0
IND1371,Male,OBC,Hindu,Rajasthan,45678,667,200000,Salaried,Graduate,1,1
IND1372,Female,SC,Muslim,Bihar,20890,560,100000,Gig Worker,12th Pass,2,0
IND1373,Male,General,Hindu,Maharashtra,85678,767,750000,Salaried,Post-Graduate,0,1
IND1374,Female,OBC,Muslim,Uttar Pradesh,35789,639,200000,Self-Employed,Graduate,2,1
IND1375,Male,General,Hindu,Gujarat,69012,736,500000,Salaried,Post-Graduate,1,1
IND1376,Female,SC,Christian,Tamil Nadu,24456,580,100000,Daily Wage,10th Pass,3,0
IND1377,Male,OBC,Hindu,Rajasthan,42345,656,200000,Salaried,Graduate,1,1
IND1378,Female,SC,Muslim,Bihar,20345,557,100000,Gig Worker,12th Pass,2,0
IND1379,Male,General,Hindu,Maharashtra,89012,781,1000000,Salaried,Post-Graduate,0,1
IND1380,Female,OBC,Muslim,Uttar Pradesh,32901,617,200000,Self-Employed,Graduate,2,1
IND1381,Male,General,Hindu,Gujarat,70456,748,750000,Salaried,Post-Graduate,1,1
IND1382,Female,SC,Christian,Tamil Nadu,27234,596,200000,Daily Wage,12th Pass,3,0
IND1383,Male,OBC,Hindu,Rajasthan,41234,649,200000,Salaried,Graduate,1,1
IND1384,Female,SC,Muslim,Bihar,19456,542,100000,Gig Worker,12th Pass,2,0
IND1385,Male,General,Hindu,Maharashtra,86789,759,750000,Salaried,Post-Graduate,0,1
IND1386,Female,OBC,Muslim,Uttar Pradesh,33678,622,200000,Self-Employed,Graduate,2,1
IND1387,Male,General,Hindu,Gujarat,67890,729,500000,Salaried,Post-Graduate,1,1
IND1388,Female,SC,Christian,Tamil Nadu,25901,591,100000,Daily Wage,10th Pass,3,0
IND1389,Male,OBC,Hindu,Rajasthan,44567,668,200000,Salaried,Graduate,1,1
IND1390,Female,SC,Muslim,Bihar,21678,573,100000,Gig Worker,12th Pass,2,0
IND1391,Male,General,Hindu,Maharashtra,91234,779,1000000,Salaried,Post-Graduate,0,1
IND1392,Female,OBC,Muslim,Uttar Pradesh,35123,631,200000,Self-Employed,Graduate,2,1
IND1393,Male,General,Hindu,Gujarat,65678,711,500000,Salaried,Post-Graduate,1,1
IND1394,Female,SC,Christian,Tamil Nadu,26567,594,200000,Daily Wage,12th Pass,3,0
IND1395,Male,OBC,Hindu,Rajasthan,42345,656,200000,Salaried,Graduate,1,1
IND1396,Female,SC,Muslim,Bihar,20123,554,100000,Gig Worker,12th Pass,2,0
IND1397,Male,General,Hindu,Maharashtra,84567,757,750000,Salaried,Post-Graduate,0,1
IND1398,Female,OBC,Muslim,Uttar Pradesh,36456,644,200000,Self-Employed,Graduate,2,1
IND1399,Male,General,Hindu,Gujarat,68901,734,500000,Salaried,Post-Graduate,1,1
IND1400,Female,SC,Christian,Tamil Nadu,24890,586,100000,Daily Wage,10th Pass,3,0
IND1401,Male,OBC,Hindu,Rajasthan,46789,672,200000,Salaried,Graduate,1,1
IND1402,Female,SC,Muslim,Bihar,21234,556,100000,Gig Worker,12th Pass,2,0
IND1403,Male,General,Hindu,Maharashtra,87890,773,1000000,Salaried,Post-Graduate,0,1
IND1404,Female,OBC,Muslim,Uttar Pradesh,33123,615,200000,Self-Employed,Graduate,2,1
IND1405,Male,General,Hindu,Gujarat,71234,756,750000,Salaried,Post-Graduate,1,1
IND1406,Female,SC,Christian,Tamil Nadu,26789,595,200000,Daily Wage,12th Pass,3,0
IND1407,Male,OBC,Hindu,Rajasthan,44567,668,200000,Salaried,Graduate,1,1
IND1408,Female,SC,Muslim,Bihar,19789,547,100000,Gig Worker,12th Pass,2,0
IND1409,Male,General,Hindu,Maharashtra,92345,789,1000000,Salaried,Post-Graduate,0,1
IND1410,Female,OBC,Muslim,Uttar Pradesh,34456,625,200000,Self-Employed,Graduate,2,1
IND1411,Male,General,Hindu,Gujarat,66789,719,500000,Salaried,Post-Graduate,1,1
IND1412,Female,SC,Christian,Tamil Nadu,25123,585,100000,Daily Wage,10th Pass,3,0
IND1413,Male,OBC,Hindu,Rajasthan,45678,667,200000,Salaried,Graduate,1,1
IND1414,Female,SC,Muslim,Bihar,20890,560,100000,Gig Worker,12th Pass,2,0
IND1415,Male,General,Hindu,Maharashtra,85678,767,750000,Salaried,Post-Graduate,0,1
IND1416,Female,OBC,Muslim,Uttar Pradesh,35789,639,200000,Self-Employed,Graduate,2,1
IND1417,Male,General,Hindu,Gujarat,69012,736,500000,Salaried,Post-Graduate,1,1
IND1418,Female,SC,Christian,Tamil Nadu,24456,580,100000,Daily Wage,10th Pass,3,0
IND1419,Male,OBC,Hindu,Rajasthan,42345,656,200000,Salaried,Graduate,1,1
IND1420,Female,SC,Muslim,Bihar,20345,557,100000,Gig Worker,12th Pass,2,0
IND1421,Male,General,Hindu,Maharashtra,89012,781,1000000,Salaried,Post-Graduate,0,1
IND1422,Female,OBC,Muslim,Uttar Pradesh,32901,617,200000,Self-Employed,Graduate,2,1
IND1423,Male,General,Hindu,Gujarat,70456,748,750000,Salaried,Post-Graduate,1,1
IND1424,Female,SC,Christian,Tamil Nadu,27234,596,200000,Daily Wage,12th Pass,3,0
IND1425,Male,OBC,Hindu,Rajasthan,41234,649,200000,Salaried,Graduate,1,1
IND1426,Female,SC,Muslim,Bihar,19456,542,100000,Gig Worker,12th Pass,2,0
IND1427,Male,General,Hindu,Maharashtra,86789,759,750000,Salaried,Post-Graduate,0,1
IND1428,Female,OBC,Muslim,Uttar Pradesh,33678,622,200000,Self-Employed,Graduate,2,1
IND1429,Male,General,Hindu,Gujarat,67890,729,500000,Salaried,Post-Graduate,1,1
IND1430,Female,SC,Christian,Tamil Nadu,25901,591,100000,Daily Wage,10th Pass,3,0
IND1431,Male,OBC,Hindu,Rajasthan,44567,668,200000,Salaried,Graduate,1,1
IND1432,Female,SC,Muslim,Bihar,21678,573,100000,Gig Worker,12th Pass,2,0
IND1433,Male,General,Hindu,Maharashtra,91234,779,1000000,Salaried,Post-Graduate,0,1
IND1434,Female,OBC,Muslim,Uttar Pradesh,35123,631,200000,Self-Employed,Graduate,2,1
IND1435,Male,General,Hindu,Gujarat,65678,711,500000,Salaried,Post-Graduate,1,1
IND1436,Female,SC,Christian,Tamil Nadu,26567,594,200000,Daily Wage,12th Trail,3,0
IND1437,Male,OBC,Hindu,Rajasthan,42345,656,200000,Salaried,Graduate,1,1
IND1438,Female,SC,Muslim,Bihar,20123,554,100000,Gig Worker,12th Pass,2,0
IND1439,Male,General,Hindu,Maharashtra,84567,757,750000,Salaried,Post-Graduate,0,1
IND1440,Female,OBC,Muslim,Uttar Pradesh,36456,644,200000,Self-Employed,Graduate,2,1
IND1441,Male,General,Hindu,Gujarat,68901,734,500000,Salaried,Post-Graduate,1,1
IND1442,Female,SC,Christian,Tamil Nadu,24890,586,100000,Daily Wage,10th Pass,3,0
IND1443,Male,OBC,Hindu,Rajasthan,46789,672,200000,Salaried,Graduate,1,1
IND1444,Female,SC,Muslim,Bihar,21234,556,100000,Gig Worker,12th Pass,2,0
IND1445,Male,General,Hindu,Maharashtra,87890,773,1000000,Salaried,Post-Graduate,0,1
IND1446,Female,OBC,Muslim,Uttar Pradesh,33123,615,200000,Self-Employed,Graduate,2,1
IND1447,Male,General,Hindu,Gujarat,71234,756,750000,Salaried,Post-Graduate,1,1
IND1448,Female,SC,Christian,Tamil Nadu,26789,595,200000,Daily Wage,12th Pass,3,0
IND1449,Male,OBC,Hindu,Rajasthan,44567,668,200000,Salaried,Graduate,1,1
IND1450,Female,SC,Muslim,Bihar,19789,547,100000,Gig Worker,12th Pass,2,0
IND1451,Male,General,Hindu,Maharashtra,92345,789,1000000,Salaried,Post-Graduate,0,1
IND1452,Female,OBC,Muslim,Uttar Pradesh,34456,625,200000,Self-Employed,Graduate,2,1
IND1453,Male,General,Hindu,Gujarat,66789,719,500000,Salaried,Post-Graduate,1,1
IND1454,Female,SC,Christian,Tamil Nadu,25123,585,100000,Daily Wage,10th Pass,3,0
IND1455,Male,OBC,Hindu,Rajasthan,45678,667,200000,Salaried,Graduate,1,1
IND1456,Female,SC,Muslim,Bihar,20890,560,100000,Gig Worker,12th Pass,2,0
IND1457,Male,General,Hindu,Maharashtra,85678,767,750000,Salaried,Post-Graduate,0,1
IND1458,Female,OBC,Muslim,Uttar Pradesh,35789,639,200000,Self-Employed,Graduate,2,1
IND1459,Male,General,Hindu,Gujarat,69012,736,500000,Salaried,Post-Graduate,1,1
IND1460,Female,SC,Christian,Tamil Nadu:24456,580,100000,Daily Wage,10th Pass,3,0
IND1461,Male,OBC,Hindu,Rajasthan,42345,656,200000,Salaried,Graduate,1,1
IND1462,Female,SC,Muslim,Bihar,20345,557,100000,Gig Worker,12th Pass,2,0
IND1463,Male,General,Hindu,Maharashtra,89012,781,1000000,Salaried,Post-Graduate,0,1
IND1464,Female,OBC,Muslim,Uttar Pradesh,32901,617,200000,Self-Employed,Graduate,2,1
IND1465,Male,General,Hindu,Gujarat,70456,748,750000,Salaried,Post-Graduate,1,1
IND1466,Female,SC,Christian,Tamil Nadu,27234,596,200000,Daily Wage,12th Pass,3,0
IND1467,Male,OBC,Hindu,Rajasthan,41234,649,200000,Salaried,Graduate,1,1
IND1468,Female,SC,Muslim,Bihar,19456,542,100000,Gig Worker,12th Pass,2,0
IND1469,Male,General,Hindu,Maharashtra,86789,759,750000,Salaried,Post-Graduate,0,1
IND1470,Female,OBC,Muslim,Uttar Pradesh,33678,622,200000,Self-Employed,Graduate,2,1
IND1471,Male,General,Hindu,Gujarat,67890,729,500000,Salaried,Post-Graduate,1,1
IND1472,Female,SC,Christian,Tamil Nadu,25901,591,100000,Daily Wage,10th Pass,3,0
IND1473,Male,OBC,Hindu,Rajasthan,44567,668,200000,Salaried,Graduate,1,1
IND1474,Female,SC,Muslim,Bihar,21678,573,100000,Gig Worker,12th Pass,2,0
IND1475,Male,General,Hindu,Maharashtra,91234,779,1000000,Salaried,Post-Graduate,0,1
IND1476,Female,OBC,Muslim,Uttar Pradesh,35123,631,200000,Self-Employed,Graduate,2,1
IND1477,Male,General,Hindu,Gujarat,65678,711,500000,Salaried,Post-Graduate,1,1
IND1478,Female,SC,Christian,Tamil Nadu,26567,594,200000,Daily Wage,12th Pass,3,0
IND1479,Male,OBC,Hindu,Rajasthan,42345,656,200000,Salaried,Graduate,1,1
IND1480,Female,SC,Muslim,Bihar,20123,554,100000,Gig Worker,12th Pass,2,0
IND1481,Male,General,Hindu,Maharashtra,84567,757,750000,Salaried,Post-Graduate,0,1
IND1482,Female,OBC,Muslim,Uttar Pradesh,36456,644,200000,Self-Employed,Graduate,2,1
IND1483,Male,General,Hindu,Gujarat,68901,734,500000,Salaried,Post-Graduate,1,1
IND1484,Female,SC,Christian,Tamil Nadu,24890,586,100000,Daily Wage,10th Pass,3,0
IND1485,Male,OBC,Hindu,Rajasthan,46789,672,200000,Salaried,Graduate,1,1
IND1486,Female,SC,Muslim,Bihar,21234,556,100000,Gig Worker,12th Pass,2,0
IND1487,Male,General,Hindu,Maharashtra,87890,773,1000000,Salaried,Post-Graduate,0,1
IND1488,Female,OBC,Muslim,Uttar Pradesh,33123,615,200000,Self-Employed,Graduate,2,1
IND1489,Male,General,Hindu,Gujarat,71234,756,750000,Salaried,Post-Graduate,1,1
IND1490,Female,SC,Christian,Tamil Nadu,26789,595,200000,Daily Wage,12th Pass,3,0
IND1491,Male,OBC,Hindu,Rajasthan,44567,668,200000,Salaried,Graduate,1,1
IND1492,Female,SC,Muslim,Bihar,19789,547,100000,Gig Worker,12th Pass,2,0
IND1493,Male,General,Hindu,Maharashtra,92345,789,1000000,Salaried,Post-Graduate,0,1
IND1494,Female,OBC,Muslim,Uttar Pradesh,34456,625,200000,Self-Employed,Graduate,2,1
IND1495,Male,General,Hindu,Gujarat,66789,719,500000,Salaried,Post-Graduate,1,1
IND1496,Female,SC,Christian,Tamil Nadu,25123,585,100000,Daily Wage,10th Pass,3,0
IND1497,Male,OBC,Hindu,Rajasthan,45678,667,200000,Salaried,Graduate,1,1
IND1498,Female,SC,Muslim,Bihar,20890,560,100000,Gig Worker,12th Pass,2,0
IND1499,Male,General,Hindu,Maharashtra,85678,767,750000,Salaried,Post-Graduate,0,1
IND1500,Female,OBC,Muslim,Uttar Pradesh,35789,639,200000,Self-Employed,Graduate,2,1
IND1501,Male,General,Hindu,Maharashtra,69012,736,500000,Salaried,Post-Graduate,1,1
IND1502,Female,SC,Christian,Tamil Nadu,24456,580,100000,Daily Wage,10th Pass,3,0
IND1503,Male,OBC,Hindu,Rajasthan,42345,656,200000,Salaried,Graduate,1,1
IND1504,Female,SC,Muslim,Bihar,20345,557,100000,Gig Worker,12th Pass,2,0
IND1505,Male,General,Hindu,Maharashtra,89012,781,1000000,Salaried,Post-Graduate,0,1
IND1506,Female,OBC,Muslim,Uttar Pradesh,32901,617,200000,Self-Employed,Graduate,2,1
IND1507,Male,General,Hindu,Gujarat,70456,748,750000,Salaried,Post-Graduate,1,1
IND1508,Female,SC,Christian,Tamil Nadu,27234,596,200000,Daily Wage,12th Pass,3,0
IND1509,Male,OBC,Hindu,Rajasthan,41234,649,200000,Salaried,Graduate,1,1
IND1510,Female,SC,Muslim,Bihar,19456,542,100000,Gig Worker,12th Pass,2,0
IND1511,Male,General,Hindu,Maharashtra,86789,759,750000,Salaried,Post-Graduate,0,1
IND1512,Female,OBC,Muslim,Uttar Pradesh,33678,622,200000,Self-Employed,Graduate,2,1
IND1513,Male,General,Hindu,Gujarat,67890,729,500000,Salaried,Post-Graduate,1,1
IND1514,Female,SC,Christian,Tamil Nadu,25901,591,100000,Daily Wage,10th Pass,3,0
IND1515,Male,OBC,Hindu,Rajasthan,44567,668,200000,Salaried,Graduate,1,1
IND1516,Female,SC,Muslim,Bihar,21678,573,100000,Gig Worker,12th Pass,2,0
IND1517,Male,General,Hindu,Maharashtra,91234,779,1000000,Salaried,Post-Graduate,0,1
IND1518,Female,OBC,Muslim,Uttar Pradesh,35123,631,200000,Self-Employed,Graduate,2,1
IND1519,Male,General,Hindu,Gujarat,65678,711,500000,Salaried,Post-Graduate,1,1
IND1520,Female,SC,Christian,Tamil Nadu,26567,594,200000,Daily Wage,12th Pass,3,0
IND1521,Male,OBC,Hindu,Rajasthan,42345,656,200000,Salaried,Graduate,1,1
IND1522,Female,SC,Muslim,Bihar,20123,554,100000,Gig Worker,12th Pass,2,0
IND1523,Male,General,Hindu,Maharashtra,84567,757,750000,Salaried,Post-Graduate,0,1
IND1524,Female,OBC,Muslim,Uttar Pradesh,36456,644,200000,Self-Employed,Graduate,2,1
IND1525,Male,General,Hindu,Gujarat,68901,734,500000,Salaried,Post-Graduate,1,1
IND1526,Female,SC,Christian,Tamil Nadu,24890,586,100000,Daily Wage,10th Pass,3,0
IND1527,Male,OBC,Hindu,Rajasthan,46789,672,200000,Salaried,Graduate,1,1
IND1528,Female,SC,Muslim,Bihar,21234,556,100000,Gig Worker,12th Pass,2,0
IND1529,Male,General,Hindu,Maharashtra,87890,773,1000000,Salaried,Post-Graduate,0,1
IND1530,Female,OBC,Muslim,Uttar Pradesh,33123,615,200000,Self-Employed,Graduate,2,1
IND1531,Male,General,Hindu,Gujarat,71234,756,750000,Salaried,Post-Graduate,1,1
IND1532,Female,SC,Christian,Tamil Nadu,26789,595,200000,Daily Wage,12th Pass,3,0
IND1533,Male,OBC,Hindu,Rajasthan,44567,668,200000,Salaried,Graduate,1,1
IND1534,Female,SC,Muslim,Bihar,19789,547,100000,Gig Worker,12th Pass,2,0
IND1535,Male,General,Hindu,Maharashtra,92345,789,1000000,Salaried,Post-Graduate,0,1
IND1536,Female,OBC,Muslim,Uttar Pradesh,34456,625,200000,Self-Employed,Graduate,2,1
IND1537,Male,General,Hindu,Gujarat,66789,719,500000,Salaried,Post-Graduate,1,1
IND1538,Female,SC,Christian,Tamil Nadu,25123,585,100000,Daily Wage,10th Pass,3,0
IND1539,Male,OBC,Hindu,Rajasthan,45678,667,200000,Salaried,Graduate,1,1
IND1540,Female,SC,Muslim,Bihar,20890,560,100000,Gig Worker,12th Pass,2,0
IND1541,Male,General,Hindu,Maharashtra,85678,767,750000,Salaried,Post-Graduate,0,1
IND1542,Female,OBC,Muslim,Uttar Pradesh,35789,639,200000,Self-Employed,Graduate,2,1
IND1543,Male,General,Hindu,Gujarat,69012,736,500000,Salaried,Post-Graduate,1,1
IND1544,Female,SC,Christian,Tamil Nadu,24456,580,100000,Daily Wage,10th Pass,3,0
IND1545,Male,OBC,Hindu,Rajasthan,42345,656,200000,Salaried,Graduate,1,1
IND1546,Female,SC,Muslim,Bihar,20345,557,100000,Gig Worker,12th Pass,2,0
IND1547,Male,General,Hindu,Maharashtra,89012,781,1000000,Salaried,Post-Graduate,0,1
IND1548,Female,OBC,Muslim,Uttar Pradesh,32901,617,200000,Self-Employed,Graduate,2,1
IND1549,Male,General,Hindu,Gujarat,70456,748,750000,Salaried,Post-Graduate,1,1
IND1550,Female,SC,Christian,Tamil Nadu,27234,596,200000,Daily Wage,12th Pass,3,0
IND1551,Male,OBC,Hindu,Rajasthan,41234,649,200000,Salaried,Graduate,1,1
IND1552,Female,SC,Muslim,Bihar,19456,542,100000,Gig Worker,12th Pass,2,0
IND1553,Male,General,Hindu,Maharashtra,86789,759,750000,Salaried,Post-Graduate,0,1
IND1554,Female,OBC,Muslim,Uttar Pradesh,33678,622,200000,Self-Employed,Graduate,2,1
IND1555,Male,General,Hindu,Gujarat,67890,729,500000,Salaried,Post-Graduate,1,1
IND1556,Female,SC,Christian,Tamil Nadu,25901,591,100000,Daily Wage,10th Pass,3,0
IND1557,Male,OBC,Hindu,Rajasthan,44567,668,200000,Salaried,Graduate,1,1
IND1558,Female,SC,Muslim,Bihar,21678,573,100000,Gig Worker,12th Pass,2,0
IND1559,Male,General,Hindu,Maharashtra,91234,779,1000000,Salaried,Post-Graduate,0,1
IND1560,Female,OBC,Muslim,Uttar Pradesh,35123,631,200000,Self-Employed,Graduate,2,1
IND1561,Male,General,Hindu,Gujarat,65678,711,500000,Salaried,Post-Graduate,1,1
IND1562,Female,SC,Christian,Tamil Nadu,26567,594,200000,Daily Wage,12th Pass,3,0
IND1563,Male,OBC,Hindu,Rajasthan,42345,656,200000,Salaried,Graduate,1,1
IND1564,Female,SC,Muslim,Bihar,20123,554,100000,Gig Worker,12th Pass,2,0
IND1565,Male,General,Hindu,Maharashtra,84567,757,750000,Salaried,Post-Graduate,0,1
IND1566,Female,OBC,Muslim,Uttar Pradesh,36456,644,200000,Self-Employed,Graduate,2,1
IND1567,Male,General,Hindu,Gujarat,68901,734,500000,Salaried,Post-Graduate,1,1
IND1568,Female,SC,Christian,Tamil Nadu,24890,586,100000,Daily Wage,10th Pass,3,0
IND1569,Male,OBC,Hindu,Rajasthan,46789,672,200000,Salaried,Graduate,1,1
IND1570,Female,SC,Muslim,Bihar,21234,556,100000,Gig Worker,12th Pass,2,0
IND1571,Male,General,Hindu,Maharashtra,87890,773,1000000,Salaried,Post-Graduate,0,1
IND1572,Female,OBC,Muslim,Uttar Pradesh,33123,615,200000,Self-Employed,Graduate,2,1
IND1573,Male,General,Hindu,Gujarat,71234,756,750000,Salaried,Post-Graduate,1,1
IND1574,Female,SC,Christian,Tamil Nadu,26789,595,200000,Daily Wage,12th Pass,3,0
IND1575,Male,OBC,Hindu,Rajasthan,44567,668,200000,Salaried,Graduate,1,1
IND1576,Female,SC,Muslim,Bihar,19789,547,100000,Gig Worker,12th Pass,2,0
IND1577,Male,General,Hindu,Maharashtra,92345,789,1000000,Salaried,Post-Graduate,0,1
IND1578,Female,OBC,Muslim,Uttar Pradesh,34456,625,200000,Self-Employed,Graduate,2,1
IND1579,Male,General,Hindu,Gujarat,66789,719,500000,Salaried,Post-Graduate,1,1
IND1580,Female,SC,Christian,Tamil Nadu,25123,585,100000,Daily Wage,10th Pass,3,0
IND1581,Male,OBC,Hindu,Rajasthan,45678,667,200000,Salaried,Graduate,1,1
IND1582,Female,SC,Muslim,Bihar,20890,560,100000,Gig Worker,12th Pass,2,0
IND1583,Male,General,Hindu,Maharashtra,85678,767,750000,Salaried,Post-Graduate,0,1
